Workstation_ID,RMS_Current(A),RMS_Voltage(V),PF,Power(W),Power(KW)
9,3.003,241.332,0.487,363.675,0.364
9,3.003,241.332,0.487,363.675,0.364
9,3.015,241.349,0.488,364.705,0.365
9,3.015,241.349,0.488,364.705,0.365
9,3.019,241.344,0.49,365.55,0.366
9,3.019,241.344,0.49,365.55,0.366
9,3.029,241.299,0.489,366.969,0.367
9,3.029,241.299,0.489,366.969,0.367
9,3.006,241.28,0.488,364.634,0.365
9,3.006,241.28,0.488,364.634,0.365
9,2.993,241.275,0.49,363.546,0.364
9,2.993,241.275,0.49,363.546,0.364
9,2.997,241.252,0.491,363.966,0.364
9,2.997,241.252,0.491,363.966,0.364
9,2.994,241.23,0.491,364.381,0.364
9,2.994,241.23,0.491,364.381,0.364
9,2.997,241.171,0.493,366.532,0.367
9,2.997,241.171,0.493,366.532,0.367
9,3.001,241.127,0.49,365.009,0.365
9,3.001,241.127,0.49,365.009,0.365
9,2.994,241.048,0.492,364.254,0.364
9,2.994,241.048,0.492,364.254,0.364
9,2.991,240.955,0.491,364.055,0.364
9,2.991,240.955,0.491,364.055,0.364
9,2.997,240.867,0.492,364.556,0.365
9,2.997,240.867,0.492,364.556,0.365
9,2.997,240.789,0.494,365.8,0.366
9,2.997,240.789,0.494,365.8,0.366
9,3.015,240.718,0.492,367.689,0.368
9,3.015,240.718,0.492,367.689,0.368
9,2.994,240.684,0.491,365.24,0.365
9,2.994,240.684,0.491,365.24,0.365
9,2.979,240.694,0.492,364.078,0.364
9,2.979,240.694,0.492,364.078,0.364
9,2.992,240.813,0.491,364.316,0.364
9,2.992,240.813,0.491,364.316,0.364
