WorkCellID,RmsVoltage(V),RmsCurrent(A),Power(W),NominalPower,Load
9,241.257,0.493,4.33,0.433,0
9,241.214,0.492,4.33,0.433,0
9,241.158,0.493,4.33,0.433,0
9,241.117,0.493,4.33,0.433,0
9,241.085,0.493,5.196,0.52,0
9,241.057,0.492,4.685,0.468,0
9,241.039,0.492,3.609,0.361,0
9,241.056,0.492,3.785,0.379,0
9,241.111,0.493,3.858,0.386,0
9,241.189,0.493,4.137,0.414,0
9,241.253,0.492,4.251,0.425,0
9,241.313,0.493,4.298,0.43,0
9,241.38,0.493,4.317,0.432,0
9,241.492,0.493,4.325,0.432,0
9,241.514,0.494,3.462,0.346,0
9,241.473,0.493,3.974,0.397,0
9,241.401,0.493,3.318,0.332,0
9,241.333,0.492,3.916,0.392,0
9,241.313,0.493,4.16,0.416,0
9,241.293,0.493,4.261,0.426,0
9,241.226,0.494,4.302,0.43,0
9,241.179,0.493,4.318,0.432,0
9,241.095,0.493,4.325,0.432,0
9,241.089,0.493,4.328,0.433,0
9,241.08,0.492,4.329,0.433,0
9,241.092,0.492,4.33,0.433,0
9,241.091,0.492,4.33,0.433,0
9,241.159,0.492,4.33,0.433,0
9,241.222,0.492,4.33,0.433,0
9,241.166,0.492,4.33,0.433,0
9,241.107,0.492,4.33,0.433,0
9,240.974,0.491,4.33,0.433,0
9,240.846,0.492,4.33,0.433,0
9,240.751,0.492,4.33,0.433,0
9,240.638,0.491,4.33,0.433,0
9,240.641,0.491,4.33,0.433,0
9,240.635,0.492,3.776,0.378,0
9,240.73,0.491,4.103,0.41,0
9,240.803,0.49,4.237,0.424,0
9,240.909,0.491,4.292,0.429,0
9,240.955,0.492,4.315,0.432,0
9,240.804,0.491,4.324,0.432,0
9,240.598,0.491,4.327,0.433,0
9,240.508,0.492,4.329,0.433,0
9,240.438,0.491,4.33,0.433,0
9,240.51,0.492,4.33,0.433,0
9,240.544,0.492,4.33,0.433,0
9,240.63,0.493,4.33,0.433,0
9,240.752,0.493,4.33,0.433,0
9,240.843,0.493,4.33,0.433,0
9,240.916,0.493,4.33,0.433,0
9,240.907,0.493,4.33,0.433,0
9,240.827,0.492,4.33,0.433,0
9,240.871,0.492,4.33,0.433,0
9,240.902,0.492,4.33,0.433,0
9,240.902,0.492,4.33,0.433,0
9,240.87,0.492,4.33,0.433,0
9,240.831,0.492,4.33,0.433,0
9,240.78,0.493,3.637,0.364,0
9,240.701,0.493,4.046,0.405,0
9,240.623,0.493,4.214,0.421,0
9,240.606,0.492,4.283,0.428,0
9,240.525,0.492,4.311,0.431,0
9,240.465,0.492,4.322,0.432,0
